"filename", "language", "Dart", "comment", "blank", "total"
"d:\flutter_project\flutter_ui_kit_hotel\lib\features\onboarding\onboarding_screen.dart", "Dart", 35, 1, 3, 39
"Total", "-", 35, 1, 3, 39
